HCP_ID,Name,Specialty,Region,Prescribing_Trend,Research_Involvement,Engagement_Score
HCP00001,HCP_Name_1,Pediatrics,North,Low,Yes,Medium
HCP00002,HCP_Name_2,Pediatrics,North,Low,Yes,Low
HCP00003,HCP_Name_3,Cardiology,Central,Low,No,Medium
HCP00004,HCP_Name_4,Pediatrics,East,Medium,Yes,Low
HCP00005,HCP_Name_5,General Practice,Central,High,Yes,High
HCP00006,HCP_Name_6,Cardiology,Central,Medium,No,High
HCP00007,HCP_Name_7,Oncology,South,Medium,Yes,Medium
HCP00008,HCP_Name_8,General Practice,West,Medium,Yes,Low
HCP00009,HCP_Name_9,Dermatology,South,Low,No,High
HCP00010,HCP_Name_10,Neurology,Central,High,No,High
HCP00011,HCP_Name_11,Cardiology,Central,Medium,No,Low
HCP00012,HCP_Name_12,Cardiology,South,High,No,Medium
HCP00013,HCP_Name_13,Dermatology,Central,Medium,Yes,Medium
HCP00014,HCP_Name_14,General Practice,Central,Medium,No,High
HCP00015,HCP_Name_15,Cardiology,North,Low,Yes,Medium
HCP00016,HCP_Name_16,Dermatology,East,Low,No,High
HCP00017,HCP_Name_17,Oncology,Central,Low,Yes,High
HCP00018,HCP_Name_18,Neurology,East,Medium,Yes,High
HCP00019,HCP_Name_19,Cardiology,Central,Low,No,Low
HCP00020,HCP_Name_20,Oncology,Central,High,No,High
HCP00021,HCP_Name_21,Dermatology,East,Low,Yes,Low
HCP00022,HCP_Name_22,Dermatology,East,Medium,Yes,High
HCP00023,HCP_Name_23,Pediatrics,South,Low,No,High
HCP00024,HCP_Name_24,Pediatrics,South,Low,Yes,Medium
HCP00025,HCP_Name_25,General Practice,West,Low,Yes,Medium
HCP00026,HCP_Name_26,Dermatology,North,High,No,Medium
HCP00027,HCP_Name_27,Cardiology,South,Low,Yes,Low
HCP00028,HCP_Name_28,Dermatology,Central,High,Yes,High
HCP00029,HCP_Name_29,Cardiology,South,Medium,Yes,Low
HCP00030,HCP_Name_30,Cardiology,North,High,No,Medium
HCP00031,HCP_Name_31,Oncology,South,Low,Yes,High
HCP00032,HCP_Name_32,Pediatrics,Central,High,Yes,Low
HCP00033,HCP_Name_33,Neurology,Central,Low,No,Low
HCP00034,HCP_Name_34,Oncology,East,High,No,Medium
HCP00035,HCP_Name_35,Neurology,North,High,Yes,High
HCP00036,HCP_Name_36,General Practice,East,Low,Yes,Medium
HCP00037,HCP_Name_37,Cardiology,East,Low,No,Medium
HCP00038,HCP_Name_38,Neurology,South,Low,Yes,Medium
HCP00039,HCP_Name_39,Dermatology,Central,Medium,Yes,Low
HCP00040,HCP_Name_40,Neurology,North,High,Yes,Medium
HCP00041,HCP_Name_41,Pediatrics,East,Medium,No,High
HCP00042,HCP_Name_42,Cardiology,South,High,Yes,Low
HCP00043,HCP_Name_43,Dermatology,East,High,No,Medium
HCP00044,HCP_Name_44,General Practice,North,High,No,Low
HCP00045,HCP_Name_45,Cardiology,West,Low,Yes,High
HCP00046,HCP_Name_46,Neurology,Central,Medium,No,Low
HCP00047,HCP_Name_47,Neurology,North,Low,Yes,High
HCP00048,HCP_Name_48,Cardiology,West,High,Yes,High
HCP00049,HCP_Name_49,Dermatology,East,Low,Yes,Low
HCP00050,HCP_Name_50,Oncology,South,Low,Yes,Low
HCP00051,HCP_Name_51,General Practice,Central,Low,Yes,Medium
HCP00052,HCP_Name_52,Pediatrics,North,Low,Yes,Medium
HCP00053,HCP_Name_53,Neurology,North,Low,No,Low
HCP00054,HCP_Name_54,Cardiology,Central,Low,Yes,High
HCP00055,HCP_Name_55,Oncology,North,High,No,Low
HCP00056,HCP_Name_56,General Practice,North,High,Yes,Low
HCP00057,HCP_Name_57,General Practice,South,Low,No,Medium
HCP00058,HCP_Name_58,Oncology,Central,Medium,Yes,Low
HCP00059,HCP_Name_59,Cardiology,Central,Medium,Yes,Medium
HCP00060,HCP_Name_60,Oncology,Central,High,Yes,High
HCP00061,HCP_Name_61,Pediatrics,Central,Medium,No,Low
HCP00062,HCP_Name_62,Oncology,West,High,No,Low
HCP00063,HCP_Name_63,Dermatology,West,Low,Yes,Low
HCP00064,HCP_Name_64,General Practice,North,Medium,No,Low
HCP00065,HCP_Name_65,Dermatology,East,Medium,No,Medium
HCP00066,HCP_Name_66,Dermatology,East,Low,Yes,Low
HCP00067,HCP_Name_67,Pediatrics,Central,Medium,Yes,High
HCP00068,HCP_Name_68,Cardiology,East,High,Yes,Medium
HCP00069,HCP_Name_69,Dermatology,West,Medium,Yes,Medium
HCP00070,HCP_Name_70,Oncology,West,Low,No,High
HCP00071,HCP_Name_71,Cardiology,West,Medium,No,Medium
HCP00072,HCP_Name_72,General Practice,Central,High,Yes,Low
HCP00073,HCP_Name_73,Neurology,East,Medium,Yes,Low
HCP00074,HCP_Name_74,Dermatology,South,Medium,No,High
HCP00075,HCP_Name_75,Dermatology,South,Medium,No,Medium
HCP00076,HCP_Name_76,Neurology,South,Medium,No,Medium
HCP00077,HCP_Name_77,Cardiology,Central,Low,Yes,Medium
HCP00078,HCP_Name_78,Neurology,East,Low,Yes,Medium
HCP00079,HCP_Name_79,Oncology,South,Medium,Yes,High
HCP00080,HCP_Name_80,Cardiology,West,Medium,No,High
HCP00081,HCP_Name_81,Cardiology,North,Low,No,Medium
HCP00082,HCP_Name_82,Cardiology,North,Medium,No,High
HCP00083,HCP_Name_83,Oncology,South,Medium,No,High
HCP00084,HCP_Name_84,General Practice,Central,Low,Yes,High
HCP00085,HCP_Name_85,General Practice,West,Medium,No,Low
HCP00086,HCP_Name_86,General Practice,West,High,No,Low
HCP00087,HCP_Name_87,Pediatrics,East,Low,No,Low
HCP00088,HCP_Name_88,General Practice,East,Medium,Yes,High
HCP00089,HCP_Name_89,Cardiology,East,Medium,No,Low
HCP00090,HCP_Name_90,Dermatology,East,High,Yes,High
HCP00091,HCP_Name_91,Pediatrics,North,High,No,Low
HCP00092,HCP_Name_92,Neurology,North,Medium,Yes,Low
HCP00093,HCP_Name_93,Dermatology,West,Low,Yes,Low
HCP00094,HCP_Name_94,Neurology,North,Medium,Yes,High
HCP00095,HCP_Name_95,Pediatrics,Central,Medium,Yes,High
HCP00096,HCP_Name_96,Cardiology,East,Low,Yes,High
HCP00097,HCP_Name_97,Dermatology,East,High,No,Low
HCP00098,HCP_Name_98,General Practice,South,Low,Yes,Low
HCP00099,HCP_Name_99,Oncology,East,Low,Yes,High
HCP00100,HCP_Name_100,Neurology,South,Low,Yes,Medium
HCP00101,HCP_Name_101,Oncology,Central,Medium,Yes,Low
HCP00102,HCP_Name_102,Pediatrics,West,Medium,Yes,Low
HCP00103,HCP_Name_103,Neurology,West,Low,No,Medium
HCP00104,HCP_Name_104,General Practice,North,High,Yes,Medium
HCP00105,HCP_Name_105,Neurology,Central,Low,No,Low
HCP00106,HCP_Name_106,Neurology,East,Medium,Yes,High
HCP00107,HCP_Name_107,General Practice,West,High,Yes,High
HCP00108,HCP_Name_108,Pediatrics,Central,High,No,Medium
HCP00109,HCP_Name_109,Dermatology,North,Medium,Yes,Medium
HCP00110,HCP_Name_110,Oncology,West,Medium,No,Medium
HCP00111,HCP_Name_111,General Practice,Central,Medium,Yes,Medium
HCP00112,HCP_Name_112,Pediatrics,East,Low,Yes,Medium
HCP00113,HCP_Name_113,General Practice,West,Medium,Yes,High
HCP00114,HCP_Name_114,Cardiology,East,Low,No,Low
HCP00115,HCP_Name_115,Cardiology,South,Medium,No,Low
HCP00116,HCP_Name_116,Cardiology,South,Medium,Yes,Low
HCP00117,HCP_Name_117,Cardiology,South,Low,Yes,Low
HCP00118,HCP_Name_118,Dermatology,East,High,Yes,Low
HCP00119,HCP_Name_119,Oncology,North,Medium,Yes,High
HCP00120,HCP_Name_120,Oncology,North,High,Yes,Medium
HCP00121,HCP_Name_121,General Practice,East,Low,Yes,Medium
HCP00122,HCP_Name_122,Oncology,South,Low,No,High
HCP00123,HCP_Name_123,Dermatology,East,High,Yes,Medium
HCP00124,HCP_Name_124,Cardiology,South,Low,No,Medium
HCP00125,HCP_Name_125,General Practice,East,Low,No,High
HCP00126,HCP_Name_126,Cardiology,South,High,Yes,High
HCP00127,HCP_Name_127,Neurology,West,High,No,High
HCP00128,HCP_Name_128,Neurology,South,High,Yes,Medium
HCP00129,HCP_Name_129,General Practice,North,High,No,Medium
HCP00130,HCP_Name_130,Cardiology,East,Low,No,Medium
HCP00131,HCP_Name_131,Pediatrics,Central,High,Yes,Low
HCP00132,HCP_Name_132,Oncology,Central,High,No,Medium
HCP00133,HCP_Name_133,Pediatrics,Central,High,No,Low
HCP00134,HCP_Name_134,Pediatrics,Central,Low,Yes,High
HCP00135,HCP_Name_135,General Practice,East,High,No,Low
HCP00136,HCP_Name_136,Cardiology,South,Low,Yes,High
HCP00137,HCP_Name_137,Dermatology,South,Low,Yes,High
HCP00138,HCP_Name_138,General Practice,Central,Low,Yes,High
HCP00139,HCP_Name_139,General Practice,East,High,No,Low
HCP00140,HCP_Name_140,General Practice,East,Low,Yes,High
HCP00141,HCP_Name_141,General Practice,North,High,No,High
HCP00142,HCP_Name_142,General Practice,South,High,Yes,Medium
HCP00143,HCP_Name_143,Dermatology,Central,Low,No,Low
HCP00144,HCP_Name_144,Neurology,Central,Medium,Yes,Low
HCP00145,HCP_Name_145,Dermatology,Central,High,Yes,High
HCP00146,HCP_Name_146,Dermatology,West,Medium,No,Low
HCP00147,HCP_Name_147,Oncology,West,Medium,Yes,High
HCP00148,HCP_Name_148,General Practice,South,Medium,No,Medium
HCP00149,HCP_Name_149,General Practice,Central,Medium,Yes,Medium
HCP00150,HCP_Name_150,Dermatology,West,Medium,Yes,Low
HCP00151,HCP_Name_151,Dermatology,South,Low,Yes,High
HCP00152,HCP_Name_152,Pediatrics,Central,High,Yes,High
HCP00153,HCP_Name_153,Oncology,West,Medium,No,High
HCP00154,HCP_Name_154,Dermatology,East,High,Yes,Low
HCP00155,HCP_Name_155,Oncology,East,Low,Yes,Medium
HCP00156,HCP_Name_156,Neurology,Central,High,Yes,Medium
HCP00157,HCP_Name_157,Neurology,South,High,Yes,Medium
HCP00158,HCP_Name_158,Pediatrics,Central,High,Yes,Low
HCP00159,HCP_Name_159,Cardiology,Central,Medium,Yes,Medium
HCP00160,HCP_Name_160,General Practice,North,High,No,High
HCP00161,HCP_Name_161,General Practice,East,Low,Yes,Medium
HCP00162,HCP_Name_162,Dermatology,West,Medium,Yes,Low
HCP00163,HCP_Name_163,Neurology,West,Medium,No,Medium
HCP00164,HCP_Name_164,Pediatrics,Central,Low,No,High
HCP00165,HCP_Name_165,Dermatology,South,Medium,Yes,Low
HCP00166,HCP_Name_166,General Practice,South,Low,No,High
HCP00167,HCP_Name_167,Neurology,West,Low,Yes,Low
HCP00168,HCP_Name_168,Dermatology,Central,High,No,Medium
HCP00169,HCP_Name_169,General Practice,East,High,No,Low
HCP00170,HCP_Name_170,Oncology,Central,Low,Yes,Low
HCP00171,HCP_Name_171,Pediatrics,Central,Medium,No,Medium
HCP00172,HCP_Name_172,Pediatrics,East,Low,No,High
HCP00173,HCP_Name_173,Neurology,West,Medium,No,High
HCP00174,HCP_Name_174,Oncology,West,Low,No,Medium
HCP00175,HCP_Name_175,Pediatrics,South,Low,No,High
HCP00176,HCP_Name_176,Oncology,South,High,No,High
HCP00177,HCP_Name_177,Oncology,West,Medium,No,High
HCP00178,HCP_Name_178,Oncology,North,Medium,No,Low
HCP00179,HCP_Name_179,Pediatrics,East,Low,Yes,Medium
HCP00180,HCP_Name_180,Dermatology,North,Medium,No,Medium
HCP00181,HCP_Name_181,Pediatrics,Central,Low,No,Medium
HCP00182,HCP_Name_182,Cardiology,North,Medium,Yes,Low
HCP00183,HCP_Name_183,Pediatrics,South,Medium,Yes,Medium
HCP00184,HCP_Name_184,Cardiology,Central,Low,Yes,Medium
HCP00185,HCP_Name_185,Dermatology,North,High,No,Medium
HCP00186,HCP_Name_186,Pediatrics,East,High,Yes,High
HCP00187,HCP_Name_187,General Practice,North,Low,No,Low
HCP00188,HCP_Name_188,Cardiology,West,High,No,Low
HCP00189,HCP_Name_189,Dermatology,East,High,No,Medium
HCP00190,HCP_Name_190,Neurology,Central,Low,No,Low
HCP00191,HCP_Name_191,Oncology,North,Low,No,Low
HCP00192,HCP_Name_192,Oncology,Central,High,No,High
HCP00193,HCP_Name_193,Dermatology,East,High,Yes,High
HCP00194,HCP_Name_194,Oncology,West,Low,No,Medium
HCP00195,HCP_Name_195,Pediatrics,South,Medium,No,High
HCP00196,HCP_Name_196,Oncology,West,High,No,High
HCP00197,HCP_Name_197,Dermatology,South,High,Yes,Medium
HCP00198,HCP_Name_198,Cardiology,East,High,No,Low
HCP00199,HCP_Name_199,Oncology,North,High,No,Low
HCP00200,HCP_Name_200,Cardiology,South,Medium,No,Medium
HCP00201,HCP_Name_201,Cardiology,West,High,No,Low
HCP00202,HCP_Name_202,General Practice,South,Medium,No,Medium
HCP00203,HCP_Name_203,Neurology,Central,Low,No,Medium
HCP00204,HCP_Name_204,Pediatrics,South,Low,No,High
HCP00205,HCP_Name_205,General Practice,East,High,Yes,Medium
HCP00206,HCP_Name_206,Dermatology,South,High,No,Low
HCP00207,HCP_Name_207,General Practice,East,Medium,Yes,High
HCP00208,HCP_Name_208,Cardiology,South,Low,No,Medium
HCP00209,HCP_Name_209,Pediatrics,East,High,Yes,Medium
HCP00210,HCP_Name_210,Oncology,South,Medium,No,Low
HCP00211,HCP_Name_211,Dermatology,North,Medium,No,Medium
HCP00212,HCP_Name_212,Dermatology,North,Medium,Yes,High
HCP00213,HCP_Name_213,Neurology,East,Low,Yes,High
HCP00214,HCP_Name_214,General Practice,South,Medium,No,Low
HCP00215,HCP_Name_215,Dermatology,North,Medium,Yes,Medium
HCP00216,HCP_Name_216,Pediatrics,Central,Low,Yes,Low
HCP00217,HCP_Name_217,Oncology,Central,High,Yes,Low
HCP00218,HCP_Name_218,Cardiology,West,High,Yes,Low
HCP00219,HCP_Name_219,Oncology,West,High,Yes,Medium
HCP00220,HCP_Name_220,General Practice,West,Low,No,Medium
HCP00221,HCP_Name_221,Cardiology,Central,Low,No,Medium
HCP00222,HCP_Name_222,Dermatology,East,Medium,No,Medium
HCP00223,HCP_Name_223,Neurology,Central,High,No,Low
HCP00224,HCP_Name_224,Pediatrics,West,Medium,No,Low
HCP00225,HCP_Name_225,Oncology,West,High,No,High
HCP00226,HCP_Name_226,Neurology,North,High,Yes,Low
HCP00227,HCP_Name_227,Cardiology,Central,High,Yes,Low
HCP00228,HCP_Name_228,Pediatrics,West,High,Yes,High
HCP00229,HCP_Name_229,Dermatology,West,Low,No,Medium
HCP00230,HCP_Name_230,Dermatology,South,Low,No,Low
HCP00231,HCP_Name_231,Oncology,North,High,Yes,High
HCP00232,HCP_Name_232,General Practice,West,High,Yes,High
HCP00233,HCP_Name_233,Cardiology,East,Medium,Yes,Medium
HCP00234,HCP_Name_234,Dermatology,East,High,Yes,Medium
HCP00235,HCP_Name_235,Cardiology,East,Medium,No,High
HCP00236,HCP_Name_236,Pediatrics,Central,Medium,No,High
HCP00237,HCP_Name_237,Neurology,South,Low,Yes,High
HCP00238,HCP_Name_238,Oncology,East,Medium,Yes,Medium
HCP00239,HCP_Name_239,Pediatrics,East,Medium,Yes,Medium
HCP00240,HCP_Name_240,Cardiology,East,High,Yes,Low
HCP00241,HCP_Name_241,Cardiology,West,Low,Yes,High
HCP00242,HCP_Name_242,Pediatrics,North,Medium,No,High
HCP00243,HCP_Name_243,Dermatology,South,High,No,High
HCP00244,HCP_Name_244,General Practice,Central,Medium,No,Medium
HCP00245,HCP_Name_245,Neurology,South,Low,Yes,High
HCP00246,HCP_Name_246,Oncology,South,High,No,Low
HCP00247,HCP_Name_247,General Practice,Central,Low,No,High
HCP00248,HCP_Name_248,Pediatrics,East,High,Yes,Low
HCP00249,HCP_Name_249,Oncology,South,Low,No,Low
HCP00250,HCP_Name_250,Oncology,North,High,Yes,Medium
HCP00251,HCP_Name_251,Neurology,Central,Medium,Yes,Medium
HCP00252,HCP_Name_252,Pediatrics,Central,Medium,No,High
HCP00253,HCP_Name_253,Pediatrics,Central,High,Yes,Medium
HCP00254,HCP_Name_254,Oncology,Central,Low,Yes,High
HCP00255,HCP_Name_255,Neurology,Central,High,No,Low
HCP00256,HCP_Name_256,Pediatrics,East,High,No,High
HCP00257,HCP_Name_257,Neurology,Central,Low,Yes,Medium
HCP00258,HCP_Name_258,Neurology,North,High,No,High
HCP00259,HCP_Name_259,Dermatology,South,High,No,Low
HCP00260,HCP_Name_260,Dermatology,South,Low,No,Medium
HCP00261,HCP_Name_261,Cardiology,North,Low,Yes,Medium
HCP00262,HCP_Name_262,Oncology,East,Medium,No,Low
HCP00263,HCP_Name_263,Neurology,South,Medium,No,High
HCP00264,HCP_Name_264,General Practice,East,Medium,Yes,High
HCP00265,HCP_Name_265,Pediatrics,West,Medium,Yes,Medium
HCP00266,HCP_Name_266,General Practice,North,Medium,No,Low
HCP00267,HCP_Name_267,Dermatology,South,Medium,Yes,Medium
HCP00268,HCP_Name_268,Neurology,North,Low,Yes,Medium
HCP00269,HCP_Name_269,Neurology,Central,Medium,No,Low
HCP00270,HCP_Name_270,General Practice,North,Medium,Yes,Medium
HCP00271,HCP_Name_271,Pediatrics,West,Medium,No,High
HCP00272,HCP_Name_272,General Practice,North,Low,No,High
HCP00273,HCP_Name_273,Oncology,South,Medium,No,Medium
HCP00274,HCP_Name_274,Neurology,North,Medium,No,Medium
HCP00275,HCP_Name_275,Cardiology,South,Medium,No,Low
HCP00276,HCP_Name_276,Pediatrics,Central,Low,No,High
HCP00277,HCP_Name_277,General Practice,West,Medium,Yes,Medium
HCP00278,HCP_Name_278,Oncology,North,Medium,No,High
HCP00279,HCP_Name_279,Dermatology,West,Low,No,Medium
HCP00280,HCP_Name_280,Dermatology,West,Medium,Yes,Medium
HCP00281,HCP_Name_281,Pediatrics,East,High,No,Medium
HCP00282,HCP_Name_282,Cardiology,West,Low,Yes,High
HCP00283,HCP_Name_283,Dermatology,East,High,No,Low
HCP00284,HCP_Name_284,General Practice,South,Low,Yes,Medium
HCP00285,HCP_Name_285,General Practice,West,High,Yes,Low
HCP00286,HCP_Name_286,Pediatrics,West,Low,No,Medium
HCP00287,HCP_Name_287,General Practice,Central,High,Yes,Medium
HCP00288,HCP_Name_288,General Practice,North,Medium,Yes,High
HCP00289,HCP_Name_289,Neurology,South,High,Yes,Low
HCP00290,HCP_Name_290,Dermatology,East,Low,Yes,High
HCP00291,HCP_Name_291,General Practice,Central,Low,No,Low
HCP00292,HCP_Name_292,Neurology,East,Medium,Yes,High
HCP00293,HCP_Name_293,Cardiology,North,Medium,Yes,Low
HCP00294,HCP_Name_294,Neurology,Central,Medium,Yes,Low
HCP00295,HCP_Name_295,Dermatology,North,Low,Yes,Medium
HCP00296,HCP_Name_296,Dermatology,Central,High,No,Low
HCP00297,HCP_Name_297,Neurology,Central,Low,Yes,High
HCP00298,HCP_Name_298,Oncology,South,Low,Yes,Low
HCP00299,HCP_Name_299,Neurology,West,Low,Yes,High
HCP00300,HCP_Name_300,Pediatrics,Central,Low,Yes,Low
HCP00301,HCP_Name_301,Cardiology,South,Low,No,High
HCP00302,HCP_Name_302,Oncology,East,High,Yes,High
HCP00303,HCP_Name_303,Dermatology,South,High,Yes,High
HCP00304,HCP_Name_304,Cardiology,East,High,No,Low
HCP00305,HCP_Name_305,General Practice,Central,High,No,High
HCP00306,HCP_Name_306,Neurology,East,High,No,High
HCP00307,HCP_Name_307,Pediatrics,East,High,Yes,High
HCP00308,HCP_Name_308,Pediatrics,West,Low,No,Medium
HCP00309,HCP_Name_309,Oncology,East,Medium,Yes,Low
HCP00310,HCP_Name_310,Neurology,West,Low,Yes,Low
HCP00311,HCP_Name_311,General Practice,South,High,No,Medium
HCP00312,HCP_Name_312,Dermatology,North,Low,No,Low
HCP00313,HCP_Name_313,Cardiology,West,High,No,Medium
HCP00314,HCP_Name_314,Neurology,North,Low,No,Low
HCP00315,HCP_Name_315,Neurology,Central,Medium,Yes,Medium
HCP00316,HCP_Name_316,Cardiology,Central,Medium,No,High
HCP00317,HCP_Name_317,Cardiology,Central,Low,Yes,High
HCP00318,HCP_Name_318,Neurology,North,Low,No,High
HCP00319,HCP_Name_319,Neurology,East,High,No,Low
HCP00320,HCP_Name_320,General Practice,West,High,Yes,Low
HCP00321,HCP_Name_321,Pediatrics,Central,High,No,Low
HCP00322,HCP_Name_322,Cardiology,North,Low,No,Low
HCP00323,HCP_Name_323,Cardiology,West,High,No,Medium
HCP00324,HCP_Name_324,Cardiology,South,Low,No,Medium
HCP00325,HCP_Name_325,Cardiology,North,Low,No,Low
HCP00326,HCP_Name_326,General Practice,East,High,No,Low
HCP00327,HCP_Name_327,Cardiology,East,High,No,High
HCP00328,HCP_Name_328,Dermatology,East,High,No,Medium
HCP00329,HCP_Name_329,Pediatrics,Central,Medium,No,Low
HCP00330,HCP_Name_330,Cardiology,North,Medium,Yes,Medium
HCP00331,HCP_Name_331,Dermatology,East,Low,Yes,Low
HCP00332,HCP_Name_332,Cardiology,North,Medium,Yes,Low
HCP00333,HCP_Name_333,General Practice,East,Medium,Yes,Medium
HCP00334,HCP_Name_334,Cardiology,South,Medium,Yes,High
HCP00335,HCP_Name_335,Dermatology,North,Medium,Yes,High
HCP00336,HCP_Name_336,Neurology,South,High,No,High
